timestamp,process_name,pid,working_set_mb,virtual_mb
2025-11-13T22:30:25.9569799-07:00,cargo,11204,22.18,4271.4
2025-11-13T22:30:25.9765354-07:00,cargo,15244,22.96,4271.4
2025-11-13T22:30:25.9775370-07:00,cargo,29464,4.46,4271.4
2025-11-13T22:30:25.9779869-07:00,cargo,44848,24.34,4287.21
2025-11-13T22:30:25.9789881-07:00,cargo,47324,3.38,4271.4
2025-11-13T22:30:26.4894805-07:00,cargo,11204,22.18,4271.4
2025-11-13T22:30:26.4904807-07:00,cargo,15244,22.96,4271.4
2025-11-13T22:30:26.4914795-07:00,cargo,19432,63,4278.66
2025-11-13T22:30:26.4924811-07:00,cargo,29464,4.46,4271.4
2025-11-13T22:30:26.4934810-07:00,cargo,44848,24.34,4287.21
2025-11-13T22:30:26.4955006-07:00,cargo,47324,3.38,4271.4
2025-11-13T22:30:27.0211487-07:00,cargo,11204,22.18,4271.4
2025-11-13T22:30:27.0221498-07:00,cargo,15244,22.96,4271.4
2025-11-13T22:30:27.0231481-07:00,cargo,19432,63.21,4282.66
2025-11-13T22:30:27.0241479-07:00,cargo,29464,4.46,4271.4
2025-11-13T22:30:27.0251494-07:00,cargo,44848,24.34,4287.21
2025-11-13T22:30:27.0251494-07:00,cargo,47324,3.38,4271.4
2025-11-13T22:30:27.0271495-07:00,rustc,8972,30.54,4396.57
2025-11-13T22:30:27.5352569-07:00,cargo,11204,22.18,4271.4
2025-11-13T22:30:27.5362572-07:00,cargo,15244,22.96,4271.4
2025-11-13T22:30:27.5367170-07:00,cargo,19432,63.21,4282.66
2025-11-13T22:30:27.5377121-07:00,cargo,29464,4.46,4271.4
2025-11-13T22:30:27.5382588-07:00,cargo,44848,24.34,4287.21
2025-11-13T22:30:27.5387172-07:00,cargo,47324,3.38,4271.4
2025-11-13T22:30:27.5397149-07:00,rustc,8972,61.77,5133.77
2025-11-13T22:30:28.0474396-07:00,cargo,11204,22.18,4271.4
2025-11-13T22:30:28.0484395-07:00,cargo,15244,22.96,4271.4
2025-11-13T22:30:28.0489664-07:00,cargo,19432,63.21,4282.66
2025-11-13T22:30:28.0494384-07:00,cargo,29464,4.46,4271.4
2025-11-13T22:30:28.0504391-07:00,cargo,44848,24.34,4287.21
2025-11-13T22:30:28.0509653-07:00,cargo,47324,3.38,4271.4
2025-11-13T22:30:28.0519659-07:00,link,13360,69.22,4424.09
2025-11-13T22:30:28.0524397-07:00,rustc,8972,48.35,4469.45
2025-11-13T22:30:28.5625349-07:00,cargo,11204,22.18,4271.4
2025-11-13T22:30:28.5640155-07:00,cargo,15244,22.96,4271.4
2025-11-13T22:30:28.5645409-07:00,cargo,19432,63.21,4282.66
2025-11-13T22:30:28.5655449-07:00,cargo,29464,4.46,4271.4
2025-11-13T22:30:28.5660125-07:00,cargo,44848,24.34,4287.21
2025-11-13T22:30:28.5670115-07:00,cargo,47324,3.38,4271.4
2025-11-13T22:30:28.5675442-07:00,link,13360,363.66,5222.46
2025-11-13T22:30:28.5685417-07:00,rustc,8972,48.35,4469.45
2025-11-13T22:30:29.0746973-07:00,cargo,11204,22.18,4271.4
2025-11-13T22:30:29.0756950-07:00,cargo,15244,22.96,4271.4
2025-11-13T22:30:29.0766959-07:00,cargo,19432,63.21,4282.66
2025-11-13T22:30:29.0776924-07:00,cargo,29464,4.46,4271.4
2025-11-13T22:30:29.0786938-07:00,cargo,44848,24.34,4287.21
2025-11-13T22:30:29.0786938-07:00,cargo,47324,3.38,4271.4
2025-11-13T22:30:29.0796920-07:00,link,13360,577.64,5326.96
2025-11-13T22:30:29.0806958-07:00,rustc,8972,48.35,4469.45
2025-11-13T22:30:29.5871586-07:00,cargo,11204,22.18,4271.4
2025-11-13T22:30:29.5886635-07:00,cargo,15244,22.96,4271.4
2025-11-13T22:30:29.5896782-07:00,cargo,19432,63.21,4282.66
2025-11-13T22:30:29.5906757-07:00,cargo,29464,4.46,4271.4
2025-11-13T22:30:29.5926771-07:00,cargo,44848,24.34,4287.21
2025-11-13T22:30:29.5926771-07:00,cargo,47324,3.38,4271.4
2025-11-13T22:30:29.5936758-07:00,link,13360,784.82,5449
2025-11-13T22:30:29.5946768-07:00,rustc,8972,48.35,4469.45
2025-11-13T22:30:30.1101741-07:00,cargo,11204,22.18,4271.4
2025-11-13T22:30:30.1121778-07:00,cargo,15244,22.96,4271.4
2025-11-13T22:30:30.1131764-07:00,cargo,19432,63.21,4282.66
2025-11-13T22:30:30.1141900-07:00,cargo,29464,4.46,4271.4
