timestamp,process_name,pid,working_set_mb,virtual_mb
2025-11-13T18:19:15.7876182-07:00,cargo,5532,46.07,4262.86
2025-11-13T18:19:16.3190230-07:00,cargo,5532,62.1,4278.67
2025-11-13T18:19:16.8961399-07:00,cargo,5532,63.07,4288.67
2025-11-13T18:19:16.8981421-07:00,rustc,2936,36.98,4885.05
2025-11-13T18:19:16.8981421-07:00,rustc,14256,30.82,5024.75
2025-11-13T18:19:16.8996531-07:00,rustc,15044,31.43,5024.75
2025-11-13T18:19:16.8996531-07:00,rustc,19724,43.26,5048.49
2025-11-13T18:19:17.4094196-07:00,cargo,5532,63.12,4288.67
2025-11-13T18:19:17.4104190-07:00,link,21688,90.98,5100.32
2025-11-13T18:19:17.4114205-07:00,rustc,2936,122.52,5021.57
2025-11-13T18:19:17.4124206-07:00,rustc,14256,63.6,4470.52
2025-11-13T18:19:17.4135100-07:00,rustc,15044,136.62,5280.98
2025-11-13T18:19:17.4139331-07:00,rustc,19724,191.34,5216.36
2025-11-13T18:19:17.9285418-07:00,cargo,5532,63.18,4286.67
2025-11-13T18:19:17.9303194-07:00,rustc,2936,143.82,5041.5
2025-11-13T18:19:17.9333765-07:00,rustc,15044,194.05,5344.85
2025-11-13T18:19:17.9349042-07:00,rustc,19724,192.97,5229.01
2025-11-13T18:19:18.4460371-07:00,cargo,5532,63.18,4286.67
2025-11-13T18:19:18.4510511-07:00,link,29736,328.51,5205.59
2025-11-13T18:19:18.4520511-07:00,rustc,2936,164.29,5065.68
2025-11-13T18:19:18.4530513-07:00,rustc,15044,258.78,5433.37
2025-11-13T18:19:18.4530513-07:00,rustc,19724,71.15,4533.71
2025-11-13T18:19:18.9726740-07:00,cargo,5532,63.18,4286.67
2025-11-13T18:19:18.9736743-07:00,link,29736,663.6,5375.71
2025-11-13T18:19:18.9756885-07:00,rustc,2936,191.48,5088.02
2025-11-13T18:19:18.9767047-07:00,rustc,15044,243.43,5428.46
2025-11-13T18:19:18.9772001-07:00,rustc,19724,71.15,4533.71
2025-11-13T18:19:19.4842530-07:00,cargo,5532,63.18,4286.67
2025-11-13T18:19:19.4852589-07:00,link,24136,8.11,4200.19
2025-11-13T18:19:19.4862772-07:00,link,29736,877.97,5511.62
2025-11-13T18:19:19.4867871-07:00,rustc,2936,225.11,5112.85
2025-11-13T18:19:19.4877819-07:00,rustc,15044,84.55,4600.38
2025-11-13T18:19:19.4887837-07:00,rustc,19724,71.15,4533.71
2025-11-13T18:19:19.9970370-07:00,cargo,5532,63.18,4286.67
2025-11-13T18:19:19.9980376-07:00,link,24136,432.97,5392.91
2025-11-13T18:19:19.9980376-07:00,link,29736,1060.77,5598.81
2025-11-13T18:19:19.9990428-07:00,rustc,2936,240.95,5118.75
2025-11-13T18:19:20.0000430-07:00,rustc,15044,84.55,4600.38
2025-11-13T18:19:20.0000430-07:00,rustc,19724,71.15,4533.71
2025-11-13T18:19:20.5309871-07:00,cargo,5532,62.53,4286.67
2025-11-13T18:19:20.5319869-07:00,link,24136,866.35,5625.12
2025-11-13T18:19:20.5319869-07:00,link,29736,1039.98,5558.2
2025-11-13T18:19:20.5339863-07:00,rustc,2936,255.29,5140.92
2025-11-13T18:19:20.5349836-07:00,rustc,15044,83.92,4600.38
2025-11-13T18:19:20.5359829-07:00,rustc,19724,70.52,4533.71
2025-11-13T18:19:21.0443432-07:00,cargo,5532,62.51,4284.67
2025-11-13T18:19:21.0453430-07:00,link,24136,1387.77,5954.32
2025-11-13T18:19:21.0463425-07:00,rustc,2936,282.85,5162.04
2025-11-13T18:19:21.0469301-07:00,rustc,15044,83.92,4600.38
2025-11-13T18:19:21.5539478-07:00,cargo,5532,62.51,4284.67
2025-11-13T18:19:21.5549459-07:00,link,24136,1236.68,5775.67
2025-11-13T18:19:21.5559448-07:00,rustc,2936,347.63,5226.3
2025-11-13T18:19:21.5569440-07:00,rustc,15044,83.92,4600.38
2025-11-13T18:19:22.0643325-07:00,cargo,5532,62.48,4282.67
2025-11-13T18:19:22.0653425-07:00,rustc,2936,439.61,5333.54
2025-11-13T18:19:22.5757219-07:00,cargo,5532,62.48,4282.67
2025-11-13T18:19:22.5767214-07:00,rustc,2936,389.44,5321.86
2025-11-13T18:19:23.0847310-07:00,cargo,5532,62.48,4282.67
2025-11-13T18:19:23.0857323-07:00,rustc,2936,380.5,5321.86
2025-11-13T18:19:23.5927082-07:00,cargo,5532,62.48,4282.67
2025-11-13T18:19:23.5937061-07:00,rustc,2936,409.88,5323.86
2025-11-13T18:19:24.1018743-07:00,cargo,5532,62.48,4282.67
2025-11-13T18:19:24.1023675-07:00,rustc,2936,411.76,5325.86
2025-11-13T18:19:24.6152333-07:00,cargo,5532,62.48,4282.67
2025-11-13T18:19:24.6162302-07:00,rustc,2936,411.31,5321.62
2025-11-13T18:19:25.1231756-07:00,cargo,5532,62.48,4282.67
2025-11-13T18:19:25.1241984-07:00,link,3008,8.04,4200.19
2025-11-13T18:19:25.1247103-07:00,rustc,2936,115.54,4713.53
2025-11-13T18:19:25.6309062-07:00,cargo,5532,62.48,4282.67
2025-11-13T18:19:25.6319058-07:00,link,3008,803.72,5426.62
2025-11-13T18:19:25.6329060-07:00,rustc,2936,115.54,4713.53
2025-11-13T18:19:26.1389349-07:00,cargo,5532,62.48,4282.67
2025-11-13T18:19:26.1399474-07:00,link,3008,650.2,4965.94
2025-11-13T18:19:26.1409601-07:00,rustc,2936,115.55,4713.53
2025-11-13T18:19:26.6518619-07:00,cargo,5532,23.05,4275.03
