timestamp,process_name,pid,working_set_mb,virtual_mb
2025-11-13T20:35:09.5854310-07:00,cargo,29464,22.38,4271.4
2025-11-13T20:35:09.6035823-07:00,cargo,47324,21.76,4271.4
2025-11-13T20:35:10.1126274-07:00,cargo,29464,22.38,4271.4
2025-11-13T20:35:10.1136284-07:00,cargo,47324,21.76,4271.4
2025-11-13T20:35:10.1146275-07:00,cargo,48532,62.88,4278.62
2025-11-13T20:35:10.6235748-07:00,cargo,29464,22.38,4271.4
2025-11-13T20:35:10.6245918-07:00,cargo,47324,21.76,4271.4
2025-11-13T20:35:10.6261180-07:00,cargo,48532,63.08,4282.62
2025-11-13T20:35:10.6412083-07:00,rustc,13668,44.37,4457.75
2025-11-13T20:35:11.1472166-07:00,cargo,29464,22.38,4271.4
2025-11-13T20:35:11.1487253-07:00,cargo,47324,21.76,4271.4
2025-11-13T20:35:11.1497540-07:00,cargo,48532,63.08,4282.62
2025-11-13T20:35:11.1502532-07:00,link,38936,760.61,5444.75
2025-11-13T20:35:11.1512679-07:00,rustc,13668,48.09,4469.47
2025-11-13T20:35:11.6574904-07:00,cargo,29464,22.38,4271.4
2025-11-13T20:35:11.6579751-07:00,cargo,47324,21.76,4271.4
2025-11-13T20:35:11.6589871-07:00,cargo,48532,63.08,4282.62
2025-11-13T20:35:11.6599882-07:00,link,38936,1046.86,5570.38
2025-11-13T20:35:11.6599882-07:00,rustc,13668,48.09,4469.47
2025-11-13T20:35:12.1665652-07:00,cargo,29464,22.38,4271.4
2025-11-13T20:35:12.1680813-07:00,cargo,47324,21.76,4271.4
2025-11-13T20:35:12.1690979-07:00,cargo,48532,23.1,4274.4
