timestamp,process_name,pid,working_set_mb,virtual_mb
2025-11-13T22:03:21.2243061-07:00,cargo,11212,24,4287.21
2025-11-13T22:03:21.2428379-07:00,cargo,29464,12.04,4271.4
2025-11-13T22:03:21.2438424-07:00,cargo,47324,7.19,4271.4
2025-11-13T22:03:21.7528177-07:00,cargo,11212,24,4287.21
2025-11-13T22:03:21.7548177-07:00,cargo,29464,12.04,4271.4
2025-11-13T22:03:21.7558188-07:00,cargo,30332,62.82,4278.7
2025-11-13T22:03:21.7568188-07:00,cargo,47324,7.19,4271.4
2025-11-13T22:03:22.2621913-07:00,cargo,11212,24,4287.21
2025-11-13T22:03:22.2642116-07:00,cargo,29464,12.04,4271.4
2025-11-13T22:03:22.2642116-07:00,cargo,30332,63.07,4282.7
2025-11-13T22:03:22.2652082-07:00,cargo,47324,7.19,4271.4
2025-11-13T22:03:22.2662033-07:00,rustc,40204,99.79,5158.51
2025-11-13T22:03:22.7850367-07:00,cargo,11212,24,4287.21
2025-11-13T22:03:22.7860365-07:00,cargo,29464,12.04,4271.4
2025-11-13T22:03:22.7875510-07:00,cargo,30332,63.07,4282.7
2025-11-13T22:03:22.7880370-07:00,cargo,47324,7.19,4271.4
2025-11-13T22:03:22.7890393-07:00,link,33832,575.4,5327.89
2025-11-13T22:03:22.7900386-07:00,rustc,40204,48.38,4469.48
2025-11-13T22:03:23.2968048-07:00,cargo,11212,24,4287.21
2025-11-13T22:03:23.2983365-07:00,cargo,29464,12.04,4271.4
2025-11-13T22:03:23.2988054-07:00,cargo,30332,63.07,4282.7
2025-11-13T22:03:23.2998054-07:00,cargo,47324,7.19,4271.4
2025-11-13T22:03:23.3008054-07:00,link,33832,1002.99,5571.68
2025-11-13T22:03:23.3013357-07:00,rustc,40204,48.38,4469.48
2025-11-13T22:03:23.8097145-07:00,cargo,11212,24,4287.21
2025-11-13T22:03:23.8117280-07:00,cargo,29464,12.04,4271.4
2025-11-13T22:03:23.8132068-07:00,cargo,30332,63.07,4282.7
2025-11-13T22:03:23.8147278-07:00,cargo,47324,7.19,4271.4
2025-11-13T22:03:23.8162065-07:00,link,33832,1032.35,5562.82
2025-11-13T22:03:23.8172068-07:00,rustc,40204,47.75,4469.48
2025-11-13T22:03:24.3304111-07:00,cargo,11212,23.66,4287.21
2025-11-13T22:03:24.3314130-07:00,cargo,29464,10.17,4271.4
2025-11-13T22:03:24.3314130-07:00,cargo,30332,62.03,4282.7
2025-11-13T22:03:24.3324137-07:00,cargo,47324,6.21,4271.4
2025-11-13T22:03:24.3334131-07:00,link,33832,977.1,5471.66
2025-11-13T22:03:24.3344117-07:00,rustc,40204,47.75,4469.48
2025-11-13T22:03:24.8402468-07:00,cargo,11212,23.66,4287.21
2025-11-13T22:03:24.8412538-07:00,cargo,29464,10.17,4271.4
2025-11-13T22:03:24.8422546-07:00,cargo,30332,22.34,4274.4
2025-11-13T22:03:24.8427654-07:00,cargo,47324,6.21,4271.4
