timestamp,process_name,pid,working_set_mb,virtual_mb
2025-11-13T17:33:42.7043636-07:00,cargo,13780,39.06,4262.85
2025-11-13T17:33:43.2334821-07:00,cargo,13780,60.65,4278.66
2025-11-13T17:33:43.7600395-07:00,cargo,13780,61.42,4284.66
2025-11-13T17:33:43.7610431-07:00,rustc,14164,27.48,4749.2
2025-11-13T17:33:43.7620460-07:00,rustc,20836,26.89,4749.2
2025-11-13T17:33:44.2730804-07:00,cargo,13780,61.47,4284.66
2025-11-13T17:33:44.2740807-07:00,rustc,14164,133.36,5226.71
2025-11-13T17:33:44.2750805-07:00,rustc,20836,155.99,5127.72
2025-11-13T17:33:44.7835785-07:00,cargo,13780,61.47,4284.66
2025-11-13T17:33:44.7855790-07:00,rustc,14164,233.49,5323.91
2025-11-13T17:33:44.7865787-07:00,rustc,20836,69.62,4525.27
2025-11-13T17:33:45.2976401-07:00,cargo,13780,61.47,4284.66
2025-11-13T17:33:45.2986404-07:00,link,552,621.87,5298.23
2025-11-13T17:33:45.2996402-07:00,rustc,14164,247.27,5354.93
2025-11-13T17:33:45.2996402-07:00,rustc,20836,71.8,4532.99
2025-11-13T17:33:45.8287057-07:00,cargo,13780,61.47,4284.66
2025-11-13T17:33:45.8297048-07:00,link,552,907.86,5429.11
2025-11-13T17:33:45.8297048-07:00,link,35272,104.71,4334.56
2025-11-13T17:33:45.8307041-07:00,rustc,14164,78.73,4580.41
2025-11-13T17:33:45.8317045-07:00,rustc,20836,71.8,4532.99
2025-11-13T17:33:46.3388379-07:00,cargo,13780,60.89,4282.66
2025-11-13T17:33:46.3398399-07:00,link,35272,361.52,5366.66
2025-11-13T17:33:46.3408366-07:00,rustc,14164,78.1,4580.41
2025-11-13T17:33:46.8474513-07:00,cargo,13780,60.89,4282.66
2025-11-13T17:33:46.8484499-07:00,link,35272,1008.36,5673.12
2025-11-13T17:33:46.8494509-07:00,rustc,14164,78.1,4580.41
2025-11-13T17:33:47.3555879-07:00,cargo,13780,60.89,4282.66
2025-11-13T17:33:47.3565877-07:00,link,35272,1167.71,5722.77
2025-11-13T17:33:47.3575878-07:00,rustc,14164,78.1,4580.41
2025-11-13T17:33:47.8760239-07:00,cargo,13780,22.05,4274.4
2025-11-13T17:33:48.3830009-07:00,cargo,13780,22.05,4274.4
2025-11-13T17:33:48.8902583-07:00,cargo,13780,22.05,4274.4
2025-11-13T17:33:49.3981832-07:00,cargo,13780,22.05,4274.4
2025-11-13T17:33:49.9052345-07:00,cargo,13780,22.05,4274.4
2025-11-13T17:33:50.4176133-07:00,cargo,13780,22.09,4274.4
